# 20190926-164806-Temperature\s,Kelvin
372.140522718,3.20307
373.143532991,3.20307
374.146605253,3.203452
375.149514914,3.20307
376.152494192,3.20307
377.155490875,3.20307
378.158604622,3.203452
379.161134005,3.20307
380.16443634,3.203452
381.16718936,3.203452
382.170543432,3.203452
383.173431873,3.20307
384.176364422,3.20307
385.179402113,3.20307
386.182560444,3.20307
387.18537569,3.203452
388.18836236,3.20307
389.19139719,3.20307
390.194454908,3.202688
391.197362423,3.20307
392.200321674,3.20307
393.203698397,3.20307
394.206764221,3.203452
395.209625721,3.203452
396.212635279,3.20307
397.215634346,3.203452
398.218698978,3.20307
399.221620083,3.20307
400.224575996,3.20307
401.227610826,3.20307
402.230647326,3.20307
403.233558655,3.20307
404.236559868,3.20307
405.239539862,3.20307
406.242629051,3.20307
407.245510578,3.203452
408.248534441,3.20307
409.251520872,3.20307
410.254580736,3.203452
411.257497549,3.203452
412.26044035,3.20307
413.263461351,3.20307
414.26652813,3.203452
415.269430161,3.203452
416.272425413,3.20307
417.275308609,3.203452
418.278480768,3.20307
419.281380653,3.203452
420.284370899,3.203452
421.287353277,3.203452
422.290419579,3.20307
423.293692589,3.203452
424.296657324,3.203452
425.299634933,3.20307
426.302695751,3.20307
427.305556297,3.203452
428.308610678,3.20307
429.311645746,3.20307
430.314615965,3.20307
431.317528486,3.20307
432.320571899,3.20307
433.323531151,3.20307
434.326612949,3.20307
435.329519272,3.20307
436.332543135,3.203452
437.335432291,3.203452
438.3385818,3.20307
439.341495752,3.20307
440.344454527,3.20307
441.347481966,3.20307
442.350533962,3.20307
443.35340023,3.20307
444.35639286,3.20307
445.359322548,3.20307
446.362434149,3.20307
447.365352392,3.203452
448.368324757,3.203452
449.371281624,3.20307
450.374370813,3.20307
451.377314091,3.20307
452.379573822,3.20307
453.383293867,3.203452
454.386842728,3.20307
455.389483213,3.20307
456.392561197,3.203452
457.395512342,3.20307
458.398633718,3.203452
459.40109539,3.20307
460.404511213,3.203452
461.407464266,3.203452
462.410539627,3.20307
463.413506269,3.203452
464.419808626,3.20307
465.419116974,3.20307
466.422118425,3.20307
467.425349474,3.203452
468.427836657,3.20307
469.431368351,3.20307
470.434450626,3.203452
471.436593533,3.203452
472.440320492,3.20307
473.443071127,3.20307
474.446359873,3.203452
475.449153662,3.203452
476.452278137,3.20307
477.455234528,3.20307
478.45786953,3.203452
479.460934401,3.203452
480.464171171,3.20307
481.467211485,3.20307
482.469901562,3.203452
483.473082066,3.203452
484.476154804,3.203452
485.479247332,3.20307
486.482160807,3.20307
487.485119343,3.20307
488.488278389,3.20307
489.490850687,3.203452
490.494470835,3.203452
491.496800423,3.20307
492.500355959,3.20307
493.503031969,3.20307
494.506394148,3.20307
495.509294033,3.20307
496.512304068,3.203452
497.514992952,3.20307
498.518009186,3.20307
499.521237612,3.20307
500.524163485,3.203452
501.526979685,3.20307
502.530205488,3.203452
503.533100128,3.20307
504.5361166,3.20307
505.538846254,3.20307
506.542114973,3.203452
507.544758558,3.20307
508.54805088,3.203452
509.550752878,3.20307
510.554055929,3.203452
511.556703568,3.20307
512.560029507,3.203452
513.562712908,3.20307
514.566005468,3.203452
515.568671942,3.203452
516.571946144,3.203452
517.574667454,3.203452
