# 20190926-164808-Balancing\s,OnOff
0.000945568084717,0.0
0.0826804637909,0.0
0.150302886963,0.0
0.23141002655,0.0
1.0238173008,0.0
2.02661395073,0.0
3.02925491333,0.0
4.03201723099,0.0
5.03484249115,0.0
6.03743219376,0.0
7.04050183296,0.0
8.0436501503,0.0
9.04673457146,0.0
10.0496168137,0.0
11.0527114868,0.0
12.0557975769,0.0
13.0588662624,0.0
14.0619139671,0.0
15.0649621487,0.0
16.0679969788,0.0
17.0711088181,0.0
18.0740497112,0.0
19.0771434307,0.0
20.0802388191,0.0
21.083281517,0.0
22.0863721371,0.0
23.0893931389,0.0
24.0923728943,0.0
25.0956029892,0.0
26.0986301899,0.0
27.101634264,0.0
28.104647398,0.0
29.1076865196,0.0
30.1107990742,0.0
31.1130199432,0.0
32.116733551,0.0
33.1198985577,0.0
34.1230006218,0.0
35.1256551743,0.0
36.1290535927,0.0
37.1320841312,0.0
38.1352050304,0.0
39.1381659508,0.0
40.1412181854,0.0
41.1441831589,0.0
42.1473176479,0.0
43.1504547596,0.0
44.1534116268,0.0
45.1564497948,0.0
46.1594679356,0.0
47.1626014709,0.0
48.1655774117,0.0
49.1686432362,0.0
50.1716706753,0.0
51.1747684479,0.0
52.1777830124,0.0
53.1808154583,0.0
54.1838524342,0.0
55.1869592667,0.0
56.1899106503,0.0
57.192990303,0.0
58.1959955692,0.0
59.1991765499,0.0
60.2020940781,0.0
61.2051646709,0.0
62.208189249,0.0
63.2112987041,0.0
64.2143108845,0.0
65.2173163891,0.0
66.220344305,0.0
67.2233905792,0.0
68.2264947891,0.0
69.2294797897,0.0
70.2324390411,0.0
71.2354412079,0.0
72.2386603355,0.0
73.2416024208,0.0
74.2446739674,0.0
75.2476494312,0.0
76.2507636547,0.0
77.2537202835,0.0
78.2568085194,0.0
79.2598137856,0.0
80.2628655434,0.0
81.2659080029,0.0
82.2689340115,0.0
83.2720103264,0.0
84.2751181126,0.0
85.2780609131,0.0
86.2810900211,0.0
87.2840909958,0.0
88.2872385979,0.0
89.2902317047,0.0
90.2932407856,0.0
91.2962508202,0.0
92.2992942333,0.0
93.3024296761,0.0
94.3052592278,0.0
95.3084039688,0.0
96.3114221096,0.0
97.3146026134,0.0
98.3175413609,0.0
99.3205523491,0.0
100.323549747,0.0
101.326695919,0.0
102.329607964,0.0
103.332650185,0.0
104.335674286,0.0
105.338797092,0.0
106.341746569,0.0
107.344713688,0.0
108.347707033,0.0
109.351097822,0.0
110.353839874,0.0
111.356849194,0.0
112.359859943,0.0
113.363118649,0.0
114.365860224,0.0
115.368978024,0.0
116.371917486,0.0
117.375135899,0.0
118.377916813,0.0
119.381080627,0.0
120.3840487,0.0
121.387212992,0.0
122.390105247,0.0
123.39296484,0.0
124.395473719,0.0
125.398850918,0.0
126.401677608,0.0
127.404852629,0.0
128.408045053,0.0
129.411350727,0.0
130.414501667,0.0
131.417068958,0.0
132.420552254,0.0
133.423480749,0.0
134.426512241,0.0
135.429462671,0.0
136.432356596,0.0
137.434791327,0.0
138.438774347,0.0
139.441555738,0.0
140.444557428,0.0
141.447588682,0.0
142.450770617,0.0
143.453632116,0.0
144.456414938,0.0
145.459739447,0.0
146.462772608,0.0
147.4660604,0.0
148.469025373,0.0
149.472306967,0.0
150.475249052,0.0
151.47816205,0.0
152.481198311,0.0
153.483853102,0.0
154.487288952,0.0
155.489885569,0.0
156.493229389,0.0
157.495881319,0.0
158.499279022,0.0
159.501963139,0.0
160.505322218,0.0
161.508320808,0.0
162.511369705,0.0
163.514457226,0.0
164.51738739,0.0
165.520401955,0.0
166.523424149,0.0
167.526128531,0.0
168.529466867,0.0
169.532473564,0.0
170.535380125,0.0
171.538139582,0.0
172.541536093,0.0
173.544548273,0.0
174.547509909,0.0
175.550668478,0.0
176.553587437,0.0
177.556686401,0.0
178.559525728,0.0
179.562288284,0.0
180.565656662,0.0
181.568650961,0.0
182.571668863,0.0
183.574384689,0.0
184.577690601,0.0
185.580676079,0.0
186.583697796,0.0
187.586784124,0.0
188.589713097,0.0
189.592740536,0.0
190.595735073,0.0
191.598719597,0.0
192.60176754,0.0
193.604763985,0.0
194.607814074,0.0
195.610901594,0.0
196.614176989,0.0
197.617125273,0.0
198.620221376,0.0
199.623217344,0.0
200.626228809,0.0
201.629233837,0.0
202.632250786,0.0
203.634924173,0.0
204.638231993,0.0
205.64128828,0.0
206.64428091,0.0
207.646996021,0.0
208.65041995,0.0
209.652997971,0.0
210.656357765,0.0
211.659353733,0.0
212.662405729,0.0
213.665297985,0.0
214.668364525,0.0
215.671308517,0.0
216.6744771,0.0
217.676990271,0.0
218.680384398,0.0
219.683348656,0.0
220.686472416,0.0
221.689090967,0.0
222.692421913,0.0
223.695432663,0.0
224.698524237,0.0
225.701454639,0.0
226.704466343,0.0
227.707450867,0.0
228.710561275,0.0
229.713461876,0.0
230.716483355,0.0
231.719522715,0.0
232.722573757,0.0
233.725216627,0.0
234.728480816,0.0
235.731497049,0.0
236.734600782,0.0
237.73777914,0.0
238.740845442,0.0
239.743882418,0.0
240.746954203,0.0
241.749881029,0.0
242.752889633,0.0
243.75586462,0.0
244.758992672,0.0
245.76199007,0.0
246.764914751,0.0
247.767895699,0.0
248.770992994,0.0
249.773937464,0.0
250.776866436,0.0
251.779925108,0.0
252.782984734,0.0
253.785929203,0.0
254.788951635,0.0
255.791933298,0.0
256.795018435,0.0
257.797926188,0.0
258.800955057,0.0
259.803910255,0.0
260.80706954,0.0
261.809961319,0.0
262.812945843,0.0
263.815969467,0.0
264.819045067,0.0
265.821959972,0.0
266.824863434,0.0
267.827881098,0.0
268.831077814,0.0
269.833986998,0.0
270.836972952,0.0
271.840003014,0.0
272.843041658,0.0
273.845937729,0.0
274.848957062,0.0
275.851961374,0.0
276.855035067,0.0
277.858389616,0.0
278.861385345,0.0
279.864302635,0.0
280.867362976,0.0
281.870034933,0.0
282.873394012,0.0
283.876095295,0.0
284.879321575,0.0
285.882244349,0.0
286.885286808,0.0
287.888289928,0.0
288.891267061,0.0
289.894394159,0.0
290.897307396,0.0
291.900311232,0.0
292.903371811,0.0
293.906341553,0.0
294.909273148,0.0
295.912053347,0.0
296.915285349,0.0
297.918339729,0.0
298.921288252,0.0
299.92429018,0.0
300.927291393,0.0
301.93040967,0.0
302.93329072,0.0
303.936007738,0.0
304.939256191,0.0
305.941617966,0.0
306.944858313,0.0
307.94768548,0.0
308.950923681,0.0
309.95399332,0.0
310.956975698,0.0
311.959893227,0.0
312.962907076,0.0
313.965869665,0.0
314.969256401,0.0
315.972204685,0.0
316.975239038,0.0
317.978593349,0.0
318.981533766,0.0
319.984525681,0.0
320.987514496,0.0
321.99057579,0.0
322.993518829,0.0
323.996492863,0.0
324.999526978,0.0
326.002604723,0.0
327.005522013,0.0
328.00849247,0.0
329.011508703,0.0
330.014573336,0.0
331.01749897,0.0
332.020501852,0.0
333.023472548,0.0
334.026571512,0.0
335.029436588,0.0
336.032485723,0.0
337.03546524,0.0
338.038532972,0.0
339.041459799,0.0
340.044448137,0.0
341.047425508,0.0
342.050508499,0.0
343.053348303,0.0
344.056385994,0.0
345.05941391,0.0
346.06246829,0.0
347.06540823,0.0
348.068377495,0.0
349.071377277,0.0
350.074444056,0.0
351.077338457,0.0
352.080377817,0.0
353.083351851,0.0
354.086418152,0.0
355.08934164,0.0
356.092355967,0.0
357.095299006,0.0
358.098399401,0.0
359.101326704,0.0
360.104607582,0.0
361.10767293,0.0
362.110685825,0.0
363.113693476,0.0
364.116634846,0.0
365.119638443,0.0
366.122793436,0.0
367.125623465,0.0
368.128570795,0.0
369.131552696,0.0
370.134619236,0.0
371.137533665,0.0
372.140522718,0.0
373.143532991,0.0
374.146605253,0.0
375.149514914,0.0
376.152494192,0.0
377.155490875,0.0
378.158604622,0.0
379.161134005,0.0
380.16443634,0.0
381.16718936,0.0
382.170543432,0.0
383.173431873,0.0
384.176364422,0.0
385.179402113,0.0
386.182560444,0.0
387.18537569,0.0
388.18836236,0.0
389.19139719,0.0
390.194454908,0.0
391.197362423,0.0
392.200321674,0.0
393.203698397,0.0
394.206764221,0.0
395.209625721,0.0
396.212635279,0.0
397.215634346,0.0
398.218698978,0.0
399.221620083,0.0
400.224575996,0.0
401.227610826,0.0
402.230647326,0.0
403.233558655,0.0
404.236559868,0.0
405.239539862,0.0
406.242629051,0.0
407.245510578,0.0
408.248534441,0.0
409.251520872,0.0
410.254580736,0.0
411.257497549,0.0
412.26044035,0.0
413.263461351,0.0
414.26652813,0.0
415.269430161,0.0
416.272425413,0.0
417.275308609,0.0
418.278480768,0.0
419.281380653,0.0
420.284370899,0.0
421.287353277,0.0
422.290419579,0.0
423.293692589,0.0
424.296657324,0.0
425.299634933,0.0
426.302695751,0.0
427.305556297,0.0
428.308610678,0.0
429.311645746,0.0
430.314615965,0.0
431.317528486,0.0
432.320571899,0.0
433.323531151,0.0
434.326612949,0.0
435.329519272,0.0
436.332543135,0.0
437.335432291,0.0
438.3385818,0.0
439.341495752,0.0
440.344454527,0.0
441.347481966,0.0
442.350533962,0.0
443.35340023,0.0
444.35639286,0.0
445.359322548,0.0
446.362434149,0.0
447.365352392,0.0
448.368324757,0.0
449.371281624,0.0
450.374370813,0.0
451.377314091,0.0
452.379573822,0.0
453.383293867,0.0
454.386842728,0.0
455.389483213,0.0
456.392561197,0.0
457.395512342,0.0
458.398633718,0.0
459.40109539,0.0
460.404511213,0.0
461.407464266,0.0
462.410539627,0.0
463.413506269,0.0
464.419808626,0.0
465.419116974,0.0
466.422118425,0.0
467.425349474,0.0
468.427836657,0.0
469.431368351,0.0
470.434450626,0.0
471.436593533,0.0
472.440320492,0.0
473.443071127,0.0
474.446359873,0.0
475.449153662,0.0
476.452278137,0.0
477.455234528,0.0
478.45786953,0.0
479.460934401,0.0
480.464171171,0.0
481.467211485,0.0
482.469901562,0.0
483.473082066,0.0
484.476154804,0.0
485.479247332,0.0
486.482160807,0.0
487.485119343,0.0
488.488278389,0.0
489.490850687,0.0
490.494470835,0.0
491.496800423,0.0
492.500355959,0.0
493.503031969,0.0
494.506394148,0.0
495.509294033,0.0
496.512304068,0.0
497.514992952,0.0
498.518009186,0.0
499.521237612,0.0
500.524163485,0.0
501.526979685,0.0
502.530205488,0.0
503.533100128,0.0
504.5361166,0.0
505.538846254,0.0
506.542114973,0.0
507.544758558,0.0
508.54805088,0.0
509.550752878,0.0
510.554055929,0.0
511.556703568,0.0
512.560029507,0.0
513.562712908,0.0
514.566005468,0.0
515.568671942,0.0
516.571946144,0.0
517.574667454,0.0
518.577909708,0.0
519.580585003,0.0
520.58387351,0.0
521.586383104,0.0
522.589864254,0.0
523.592581987,0.0
524.596190691,0.0
525.599200964,0.0
526.602135897,0.0
527.604800701,0.0
528.608072281,0.0
529.611156225,0.0
530.614042044,0.0
531.617051125,0.0
532.620037794,0.0
533.623076677,0.0
534.625984192,0.0
535.628634453,0.0
536.631973028,0.0
537.634982109,0.0
538.63788414,0.0
539.640608072,0.0
540.643900394,0.0
541.646967888,0.0
542.649850607,0.0
543.652463675,0.0
544.655795097,0.0
545.658856153,0.0
546.661772013,0.0
547.664412022,0.0
548.667720318,0.0
549.670816183,0.0
550.673688412,0.0
551.676360846,0.0
552.679681778,0.0
553.682757616,0.0
554.685940504,0.0
555.68860054,0.0
556.691956758,0.0
557.694975376,0.0
558.697873354,0.0
559.700893164,0.0
560.70386529,0.0
561.707094431,0.0
562.709836006,0.0
563.712471247,0.0
564.715817928,0.0
565.718888521,0.0
566.721736908,0.0
567.724706411,0.0
568.727807045,0.0
569.730728149,0.0
570.733641386,0.0
571.736636877,0.0
572.739402294,0.0
573.74267602,0.0
574.745588303,0.0
575.748570204,0.0
576.751569748,0.0
577.754717588,0.0
578.75757575,0.0
579.760406256,0.0
580.763457537,0.0
581.766530514,0.0
582.769489765,0.0
583.772392988,0.0
584.774853706,0.0
585.778446436,0.0
586.781402349,0.0
587.784332514,0.0
588.787338734,0.0
589.790723324,0.0
590.793286085,0.0
591.796653986,0.0
592.799607992,0.0
593.802637339,0.0
594.805540562,0.0
595.808546782,0.0
596.811486959,0.0
597.814545155,0.0
598.817461491,0.0
599.820423603,0.0
600.823440313,0.0
601.82648468,0.0
602.829370737,0.0
603.83235836,0.0
604.835362911,0.0
605.838422298,0.0
606.841269016,0.0
607.844291687,0.0
608.847297192,0.0
609.850321531,0.0
610.853242159,0.0
611.856193781,0.0
612.859318495,0.0
613.862198353,0.0
614.865124702,0.0
615.868144989,0.0
616.871160984,0.0
617.874064207,0.0
618.877059698,0.0
619.880073547,0.0
620.883111715,0.0
621.885970831,0.0
622.88898778,0.0
623.891984463,0.0
624.89507556,0.0
625.897964478,0.0
