# 20190926-164800-Voltage
# s,V
252.782984734,3.068988
253.785929203,3.068606
254.788951635,3.068606
255.791933298,3.068988
256.795018435,3.068988
257.797926188,3.06937
258.800955057,3.068988
259.803910255,3.068988
260.80706954,3.068988
261.809961319,3.068988
262.812945843,3.068988
263.815969467,3.068988
264.819045067,3.068988
265.821959972,3.068988
266.824863434,3.068988
267.827881098,3.06937
268.831077814,3.068988
269.833986998,3.068988
270.836972952,3.068988
271.840003014,3.068988
272.843041658,3.068988
273.845937729,3.068988
274.848957062,3.068988
275.851961374,3.068988
276.855035067,3.068988
277.858389616,3.068988
278.861385345,3.068988
279.864302635,3.068988
280.867362976,3.068988
281.870034933,3.06937
282.873394012,3.06937
283.876095295,3.068988
284.879321575,3.068988
285.882244349,3.06937
286.885286808,3.068988
287.888289928,3.068988
288.891267061,3.068988
289.894394159,3.068988
290.897307396,3.068988
291.900311232,3.068988
292.903371811,3.06937
293.906341553,3.068988
294.909273148,3.068988
295.912053347,3.068988
296.915285349,3.068988
297.918339729,3.06937
298.921288252,3.068988
299.92429018,3.068988
300.927291393,3.068988
301.93040967,3.06937
302.93329072,3.068988
303.936007738,3.068988
304.939256191,3.068988
305.941617966,3.068988
306.944858313,3.06937
307.94768548,3.068988
308.950923681,3.068988
309.95399332,3.068988
310.956975698,3.068988
311.959893227,3.06937
312.962907076,3.068988
313.965869665,3.068988
314.969256401,3.068606
315.972204685,3.068988
316.975239038,3.068988
317.978593349,3.068988
318.981533766,3.068988
319.984525681,3.068988
320.987514496,3.068988
321.99057579,3.068988
322.993518829,3.068988
323.996492863,3.068988
324.999526978,3.068988
326.002604723,3.06937
327.005522013,3.068988
328.00849247,3.068988
329.011508703,3.068988
330.014573336,3.068988
331.01749897,3.068988
332.020501852,3.068988
333.023472548,3.068988
334.026571512,3.068988
335.029436588,3.068988
336.032485723,3.068988
337.03546524,3.068988
338.038532972,3.068988
339.041459799,3.06937
340.044448137,3.068988
341.047425508,3.068988
342.050508499,3.06937
343.053348303,3.068988
344.056385994,3.06937
345.05941391,3.06937
346.06246829,3.068988
347.06540823,3.068988
348.068377495,3.068988
349.071377277,3.06937
350.074444056,3.068988
351.077338457,3.068988
352.080377817,3.068988
353.083351851,3.068988
354.086418152,3.068988
355.08934164,3.068988
356.092355967,3.068988
357.095299006,3.068988
358.098399401,3.068988
359.101326704,3.068988
360.104607582,3.068988
361.10767293,3.068988
362.110685825,3.06937
363.113693476,3.068988
364.116634846,3.06937
365.119638443,3.06937
366.122793436,3.068988
367.125623465,3.068988
368.128570795,3.068988
369.131552696,3.068988
370.134619236,3.068988
371.137533665,3.068988
372.140522718,3.068988
373.143532991,3.068988
374.146605253,3.068988
375.149514914,3.068988
376.152494192,3.06937
377.155490875,3.068988
378.158604622,3.068988
379.161134005,3.06937
380.16443634,3.068988
381.16718936,3.068988
382.170543432,3.068988
383.173431873,3.068988
384.176364422,3.068988
385.179402113,3.068988
386.182560444,3.068988
387.18537569,3.068988
388.18836236,3.068988
389.19139719,3.068988
390.194454908,3.068988
391.197362423,3.068988
392.200321674,3.068988
393.203698397,3.068988
394.206764221,3.068988
395.209625721,3.068988
396.212635279,3.06937
397.215634346,3.068988
398.218698978,3.068988
399.221620083,3.068988
400.224575996,3.068606
401.227610826,3.068988
402.230647326,3.068988
403.233558655,3.068988
404.236559868,3.068988
405.239539862,3.068988
406.242629051,3.06937
407.245510578,3.06937
408.248534441,3.06937
409.251520872,3.068988
410.254580736,3.068988
411.257497549,3.068988
412.26044035,3.06937
413.263461351,3.068988
414.26652813,3.068988
415.269430161,3.068988
416.272425413,3.068988
417.275308609,3.068988
418.278480768,3.068988
419.281380653,3.068988
420.284370899,3.068988
421.287353277,3.068988
422.290419579,3.068988
423.293692589,3.068988
424.296657324,3.068988
425.299634933,3.068988
426.302695751,3.068988
427.305556297,3.068988
428.308610678,3.068606
429.311645746,3.068988
430.314615965,3.068988
431.317528486,3.068988
432.320571899,3.068988
433.323531151,3.068988
434.326612949,3.068988
435.329519272,3.068988
436.332543135,3.068988
437.335432291,3.06937
438.3385818,3.068988
439.341495752,3.068988
440.344454527,3.068606
441.347481966,3.068988
442.350533962,3.068988
443.35340023,3.068988
444.35639286,3.06937
445.359322548,3.068988
446.362434149,3.068988
447.365352392,3.068988
448.368324757,3.068988
449.371281624,3.06937
450.374370813,3.06937
451.377314091,3.068988
452.379573822,3.068606
453.383293867,3.06937
454.386842728,3.06937
455.389483213,3.068988
456.392561197,3.068988
457.395512342,3.068988
458.398633718,3.06937
459.40109539,3.068988
460.404511213,3.068988
461.407464266,3.068988
462.410539627,3.068988
463.413506269,3.068988
464.419808626,3.068988
465.419116974,3.068988
466.422118425,3.068988
467.425349474,3.068988
468.427836657,3.068988
469.431368351,3.068988
470.434450626,3.068988
471.436593533,3.068988
472.440320492,3.068988
473.443071127,3.068988
474.446359873,3.068988
475.449153662,3.06937
476.452278137,3.068988
477.455234528,3.068988
478.45786953,3.068988
479.460934401,3.068988
480.464171171,3.068988
481.467211485,3.068988
482.469901562,3.068988
483.473082066,3.068988
484.476154804,3.068988
485.479247332,3.068606
486.482160807,3.068988
487.485119343,3.068606
488.488278389,3.068988
489.490850687,3.068988
490.494470835,3.068988
491.496800423,3.068988
492.500355959,3.068988
493.503031969,3.068988
494.506394148,3.068988
495.509294033,3.068606
496.512304068,3.068988
497.514992952,3.06937
498.518009186,3.068988
499.521237612,3.068988
500.524163485,3.068988
501.526979685,3.068988
502.530205488,3.068988
503.533100128,3.068988
504.5361166,3.068988
505.538846254,3.068988
506.542114973,3.068988
507.544758558,3.068988
508.54805088,3.068988
509.550752878,3.068988
510.554055929,3.068988
511.556703568,3.068988
512.560029507,3.068988
513.562712908,3.068988
514.566005468,3.068988
515.568671942,3.068988
516.571946144,3.068988
517.574667454,3.068988
518.577909708,3.068988
519.580585003,3.068988
520.58387351,3.068988
521.586383104,3.06937
522.589864254,3.068988
523.592581987,3.06937
524.596190691,3.068988
525.599200964,3.068988
526.602135897,3.06937
527.604800701,3.068988
528.608072281,3.068988
529.611156225,3.068988
530.614042044,3.068988
531.617051125,3.068988
532.620037794,3.06937
533.623076677,3.068988
534.625984192,3.068988
535.628634453,3.068988
536.631973028,3.068988
537.634982109,3.068988
538.63788414,3.068988
539.640608072,3.068988
540.643900394,3.06937
541.646967888,3.068988
542.649850607,3.068988
543.652463675,3.068606
544.655795097,3.06937
545.658856153,3.068988
546.661772013,3.06937
547.664412022,3.068988
548.667720318,3.068988
549.670816183,3.068988
550.673688412,3.068988
551.676360846,3.068988
552.679681778,3.06937
553.682757616,3.068988
554.685940504,3.068988
555.68860054,3.06937
556.691956758,3.068988
557.694975376,3.068988
558.697873354,3.068988
559.700893164,3.068988
560.70386529,3.068606
561.707094431,3.068988
562.709836006,3.068988
563.712471247,3.068988
564.715817928,3.06937
565.718888521,3.068988
566.721736908,3.068988
567.724706411,3.068988
568.727807045,3.068988
569.730728149,3.068988
570.733641386,3.068988
571.736636877,3.068988
572.739402294,3.068988
573.74267602,3.068988
574.745588303,3.068988
575.748570204,3.068988
576.751569748,3.068988
577.754717588,3.068988
578.75757575,3.068988
579.760406256,3.068988
580.763457537,3.068988
581.766530514,3.068988
582.769489765,3.06937
583.772392988,3.068988
584.774853706,3.068988
585.778446436,3.068988
586.781402349,3.068988
587.784332514,3.068988
588.787338734,3.068988
589.790723324,3.068988
590.793286085,3.068988
591.796653986,3.068988
592.799607992,3.068988
593.802637339,3.068988
594.805540562,3.068988
595.808546782,3.06937
596.811486959,3.068988
597.814545155,3.068988
598.817461491,3.068988
599.820423603,3.068988
600.823440313,3.068988
601.82648468,3.068988
602.829370737,3.068988
603.83235836,3.068988
604.835362911,3.068988
605.838422298,3.06937
606.841269016,3.068988
607.844291687,3.068988
608.847297192,3.06937
609.850321531,3.06937
610.853242159,3.06937
611.856193781,3.068988
612.859318495,3.068988
613.862198353,3.068988
614.865124702,3.068988
615.868144989,3.06937
616.871160984,3.068988
617.874064207,3.068988
618.877059698,3.068988
619.880073547,3.06937
620.883111715,3.068988
621.885970831,3.068988
622.88898778,3.06937
623.891984463,3.068988
624.89507556,3.068988
625.897964478,3.115592
626.90106678,3.068988
627.903870344,3.068988
628.906956196,3.068988
629.906771898,3.044158
630.912781954,3.068988
631.915835857,3.068988
632.918890238,3.068988
633.92180109,3.068606
634.924782276,3.068988
635.92774868,3.068988
636.930759668,3.06937
637.933689117,3.06937
638.936655521,3.06937
639.939396143,3.068988
640.942297459,3.068988
641.944848776,3.068988
642.948144197,3.068988
643.951514482,3.06937
644.954960108,3.068988
645.957551718,3.068988
646.96081996,3.068988
647.963797331,3.068988
648.966880798,3.068988
649.969760656,3.068988
650.972724676,3.068988
651.975744247,3.068988
652.978827715,3.068988
653.981709957,3.068988
654.984667301,3.068988
655.987676859,3.068988
656.990716219,3.068988
657.993643999,3.068606
658.996587038,3.068988
659.999807596,3.068988
661.002625942,3.068606
662.005546331,3.068988
663.008485317,3.068988
664.011489868,3.068988
665.014515877,3.068988
666.017461061,3.068988
667.020459414,3.068988
668.023424387,3.068988
669.026613951,3.068988
670.029373884,3.068988
671.032090187,3.068606
672.035319328,3.068988
673.038437843,3.06937
674.041269302,3.068988
675.044128656,3.068988
676.047311783,3.068988
677.0499506,3.068988
678.053196907,3.06937
679.05582881,3.068606
680.059483767,3.068988
681.062704802,3.068988
682.065454245,3.068988
683.06841898,3.068988
684.071407557,3.068988
685.074517727,3.068988
686.07693243,3.068988
687.080327034,3.068988
688.082762718,3.068988
689.085943699,3.068988
690.089176416,3.06937
691.092412233,3.068988
692.095515966,3.068988
693.098171949,3.068988
694.100777626,3.068988
695.104165554,3.068988
696.107196331,3.068988
697.110133171,3.068988
698.113094568,3.06937
699.116056442,3.068988
700.119118929,3.068988
